2025-05-29 18:14:16,595 [INFO] [SPLIT] KRW-FLOW_label.parquet → KRW-FLOW_train.parquet, shape=(90724, 44), dist={0: 81658, 1: 4689, -1: 4377}
2025-05-29 18:14:16,652 [INFO] [SPLIT] KRW-FLOW_label.parquet → KRW-FLOW_valid.parquet, shape=(25921, 44), dist={0: 23626, -1: 1192, 1: 1103}
2025-05-29 18:14:16,687 [INFO] [SPLIT] KRW-FLOW_label.parquet → KRW-FLOW_test.parquet, shape=(12961, 44), dist={0: 12270, 1: 357, -1: 334}
2025-05-29 18:14:16,908 [INFO] [SPLIT] KRW-GAS_label.parquet → KRW-GAS_train.parquet, shape=(90967, 44), dist={0: 70833, 1: 10915, -1: 9219}
2025-05-29 18:14:16,968 [INFO] [SPLIT] KRW-GAS_label.parquet → KRW-GAS_valid.parquet, shape=(25990, 44), dist={0: 22688, -1: 1669, 1: 1633}
2025-05-29 18:14:17,008 [INFO] [SPLIT] KRW-GAS_label.parquet → KRW-GAS_test.parquet, shape=(12997, 44), dist={0: 12550, 1: 224, -1: 223}
2025-05-29 18:14:17,230 [INFO] [SPLIT] KRW-INJ_label.parquet → KRW-INJ_train.parquet, shape=(90888, 44), dist={0: 72380, 1: 9302, -1: 9206}
2025-05-29 18:14:17,285 [INFO] [SPLIT] KRW-INJ_label.parquet → KRW-INJ_valid.parquet, shape=(25968, 44), dist={0: 19976, -1: 3022, 1: 2970}
2025-05-29 18:14:17,322 [INFO] [SPLIT] KRW-INJ_label.parquet → KRW-INJ_test.parquet, shape=(12984, 44), dist={0: 9164, 1: 1963, -1: 1857}
2025-05-29 18:14:17,550 [INFO] [SPLIT] KRW-JUP_label.parquet → KRW-JUP_train.parquet, shape=(90808, 44), dist={0: 74084, 1: 8442, -1: 8282}
2025-05-29 18:14:17,611 [INFO] [SPLIT] KRW-JUP_label.parquet → KRW-JUP_valid.parquet, shape=(25945, 44), dist={0: 20778, 1: 2596, -1: 2571}
2025-05-29 18:14:17,653 [INFO] [SPLIT] KRW-JUP_label.parquet → KRW-JUP_test.parquet, shape=(12973, 44), dist={0: 9568, 1: 1725, -1: 1680}
2025-05-29 18:14:17,898 [INFO] [SPLIT] KRW-KAITO_label.parquet → KRW-KAITO_train.parquet, shape=(85237, 44), dist={0: 63936, -1: 12721, 1: 8580}
2025-05-29 18:14:17,957 [INFO] [SPLIT] KRW-KAITO_label.parquet → KRW-KAITO_valid.parquet, shape=(24353, 44), dist={0: 10449, -1: 7061, 1: 6843}
2025-05-29 18:14:17,993 [INFO] [SPLIT] KRW-KAITO_label.parquet → KRW-KAITO_test.parquet, shape=(12178, 44), dist={0: 8828, -1: 1982, 1: 1368}
2025-05-29 18:14:18,257 [INFO] [SPLIT] KRW-KAVA_label.parquet → KRW-KAVA_train.parquet, shape=(90915, 44), dist={0: 76929, 1: 7089, -1: 6897}
